,unnamed: 0,age,joblevel,housingtype,savingaccounts,checkingaccount,creditamount,creditduration,creditpurpose,worklifebalance,risk
675,675,26,3,2,1,0,4530,30,5,1,1
703,703,41,2,1,2,2,2503,30,0,1,1
12,12,22,2,1,1,2,1567,12,5,0,1
845,845,35,2,1,0,2,3976,21,4,0,1
795,795,22,2,2,2,0,2301,9,4,1,1
566,566,36,2,1,1,1,1372,12,1,2,0
843,843,50,2,1,1,0,1559,24,0,2,1
750,750,49,2,1,1,1,428,6,4,0,1
841,841,28,1,1,1,0,2993,21,1,2,1
380,380,39,2,1,0,1,2212,20,4,1,1
722,722,24,1,1,1,1,1228,12,1,2,0
963,963,35,2,1,3,0,2397,24,5,1,0
231,231,51,1,0,3,0,2507,9,1,1,1
974,974,33,2,1,1,0,2831,30,5,2,1
908,908,46,1,1,1,0,3594,15,1,1,1
171,171,26,2,1,1,0,763,12,4,2,1
650,650,50,3,0,1,1,7476,48,3,0,1
240,240,29,2,1,0,1,915,24,1,1,0
197,197,27,2,2,2,2,951,12,4,1,0
992,992,23,1,2,0,1,1936,18,5,0,1
597,597,36,1,1,1,2,4241,24,0,0,0
763,763,30,3,0,0,0,12680,21,1,0,0
690,690,25,2,1,1,1,975,15,4,1,1
816,816,62,2,1,3,0,1338,6,2,1,1
576,576,27,2,1,1,2,2930,12,5,1,1
882,882,36,2,1,0,2,2181,30,1,1,1
478,478,39,1,1,2,2,1037,12,0,0,1
252,252,24,2,1,1,2,2150,30,1,1,0
948,948,43,1,1,1,0,1533,18,4,0,0
951,951,24,2,1,1,1,2145,36,0,1,0
792,792,27,2,1,0,0,1221,6,4,0,1
691,691,25,1,1,2,2,2631,15,6,1,1
406,406,43,2,1,0,0,2197,24,1,1,1
453,453,35,3,1,1,0,2670,24,1,2,1
402,402,27,2,1,1,0,8648,24,0,1,0
439,439,26,0,1,1,3,609,12,0,1,0
501,501,42,2,0,1,1,5493,36,1,2,1
311,311,25,2,1,2,0,5511,24,4,0,1
678,678,64,1,2,1,1,2384,24,5,1,1
127,127,30,2,1,1,2,639,12,6,1,0
438,438,65,0,1,1,1,3394,42,6,1,1
397,397,46,2,1,1,1,2348,36,4,2,1
222,222,30,2,1,1,0,707,12,5,2,1
609,609,45,2,0,0,0,1300,15,1,2,1
270,270,32,2,1,0,0,2662,18,1,1,1
803,803,35,2,1,0,0,976,12,5,1,1
641,641,38,1,1,1,2,1308,15,6,0,1
34,34,33,3,1,1,3,1474,12,4,2,1
52,52,25,2,1,1,0,1262,12,5,2,1
787,787,38,2,1,0,0,2751,48,1,2,1
579,579,27,1,1,1,0,937,24,3,2,1
824,824,35,3,1,1,0,3780,18,4,1,1
256,256,35,1,1,1,0,2684,24,5,2,1
354,354,46,2,0,3,0,727,10,3,2,1
516,516,40,1,1,1,1,1361,6,1,0,1
350,350,23,2,2,1,0,1236,9,2,1,1
774,774,66,0,0,3,3,1480,12,1,2,1
253,253,35,2,1,2,0,4151,24,4,0,1
979,979,25,2,2,2,2,1264,15,1,0,0
645,645,27,2,2,0,0,7980,36,0,1,0
748,748,26,2,1,0,0,5248,21,1,2,1
710,710,32,3,1,3,0,629,18,5,1,1
421,421,30,2,1,0,2,2028,12,1,0,1
847,847,28,2,1,1,0,1249,24,1,1,1
267,267,38,2,1,1,0,1533,24,5,1,1
642,642,40,3,1,2,0,4623,15,3,1,0
344,344,37,1,1,1,3,3949,10,1,1,1
872,872,26,2,1,2,1,1382,24,0,0,1
781,781,60,2,1,4,0,1940,24,1,2,1
89,89,28,2,1,1,1,1108,12,6,1,0
168,168,25,2,2,1,0,3972,24,4,2,1
659,659,41,2,1,1,2,6361,18,4,2,1
420,420,20,2,2,4,0,3186,15,1,2,1
925,925,46,2,1,1,1,697,12,1,1,0
519,519,36,2,0,0,0,700,6,5,2,1
864,864,25,1,2,1,0,2210,10,4,1,0
120,120,25,2,1,1,1,1835,21,5,0,0
143,143,22,2,1,1,1,2462,18,4,0,0
342,342,25,2,2,3,2,3213,18,5,0,1
76,76,34,2,1,1,1,3965,42,5,1,0
414,414,35,2,1,0,1,1381,24,1,2,0
796,796,51,2,0,0,1,7511,18,1,2,0
64,64,26,2,1,1,0,3181,24,5,1,1
944,944,46,2,2,1,1,1845,15,4,0,1
83,83,58,1,1,1,1,1755,24,7,1,1
940,940,45,3,1,0,0,3527,12,1,0,1
117,117,27,2,2,0,1,2132,10,4,1,1
337,337,24,2,2,0,1,1275,15,2,1,0
967,967,54,3,2,1,0,3568,15,5,1,1
456,456,36,2,2,1,1,3905,11,1,1,1
802,802,24,2,1,1,1,4272,20,4,1,1
848,848,59,2,1,1,1,1364,9,5,2,1
793,793,51,2,0,1,3,2892,24,4,0,1
930,930,24,1,1,1,1,1747,24,4,1,1
178,178,31,3,2,1,0,1963,12,5,1,1
915,915,32,3,1,1,2,18424,48,7,0,0
938,938,42,2,0,1,2,6288,60,3,1,0
980,980,49,2,1,1,2,8386,30,4,2,0
895,895,31,3,1,0,0,8947,36,1,0,1
752,752,23,1,2,2,2,841,12,0,0,1
204,204,38,1,1,1,0,1495,12,1,1,1
373,373,63,3,0,0,0,13756,60,1,0,1
894,894,29,2,1,0,0,1169,18,5,1,1
534,534,25,2,1,0,0,3105,24,5,2,1
723,723,66,1,1,3,2,790,9,5,1,1
254,254,24,2,1,0,2,2030,9,4,2,1
811,811,28,1,1,1,2,484,6,5,1,1
379,379,52,1,1,2,0,362,6,1,2,1
506,506,36,2,1,3,3,2360,15,1,1,1
323,323,28,2,1,4,1,2659,18,4,1,1
